Gender,Age,stress,heartbeat,anxiety,sleep,concentration,sadness,irritation,isolation,headaches,illness,weight,workload,competition,confidence_performance,confidence_subjects,activities,attendance,teacher_diff,work_env,home_env,relationships,relaxation,stresstype
0,20,3,4,2,5,2,2,1,1,2,3,2,5,1,2,1,3,1,3,1,1,2,4,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,20,2,3,2,1,4,2,1,2,1,1,2,1,2,3,2,1,4,3,2,1,4,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,20,5,4,2,2,2,3,4,3,3,2,1,4,5,4,1,1,2,2,2,1,2,2,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,20,3,4,3,2,3,5,4,4,3,2,3,1,2,2,1,1,5,1,1,1,3,2,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,20,3,3,3,2,4,4,4,1,4,1,2,1,2,2,4,2,2,2,3,2,1,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,20,3,4,3,2,1,3,4,2,3,1,4,2,3,3,2,4,4,2,3,2,2,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,20,2,2,1,4,1,3,4,2,3,4,2,1,3,4,3,3,3,4,4,3,4,2,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,20,5,5,5,2,1,2,1,4,2,2,5,1,2,3,1,1,1,1,4,4,1,2,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,20,3,2,1,5,1,2,1,2,5,3,1,3,3,4,3,1,5,4,4,4,4,2,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,21,3,4,2,1,2,3,1,3,2,4,2,2,2,1,1,2,4,1,1,1,1,1,No Stress - Currently experiencing minimal to no stress.
1,19,2,1,2,4,2,4,2,1,3,3,1,1,2,1,1,2,3,1,1,1,2,1,No Stress - Currently experiencing minimal to no stress.
1,20,5,3,2,4,2,4,4,3,3,4,1,1,5,1,1,2,3,5,1,1,3,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,20,3,4,2,2,1,1,1,1,2,1,2,1,3,3,2,3,3,2,4,5,2,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
